x,y,centroid_x,centroid_y
-48.197,-3.29,-54.15366834170855,2.6415628140703515
-48.145,1.384,-54.15366834170855,2.6415628140703515
-48.724,1.386,-54.15366834170855,2.6415628140703515
-63.575,1.485,-54.15366834170855,2.6415628140703515
-58.5,3.465,-54.15366834170855,2.6415628140703515
-61.172,0.12,-54.15366834170855,2.6415628140703515
-51.625,6.695,-54.15366834170855,2.6415628140703515
-48.641,-2.312,-54.15366834170855,2.6415628140703515
-60.505,-1.265,-54.15366834170855,2.6415628140703515
-48.99,-5.432,-54.15366834170855,2.6415628140703515
-46.991,-0.43,-54.15366834170855,2.6415628140703515
-49.506,3.692,-54.15366834170855,2.6415628140703515
-58.017,3.3,-54.15366834170855,2.6415628140703515
-55.554,1.668,-54.15366834170855,2.6415628140703515
-55.071,-2.134,-54.15366834170855,2.6415628140703515
-59.375,4.023,-54.15366834170855,2.6415628140703515
-59.204,2.862,-54.15366834170855,2.6415628140703515
-48.852,6.251,-54.15366834170855,2.6415628140703515
-57.838,7.001,-54.15366834170855,2.6415628140703515
-44.743,3.095,-54.15366834170855,2.6415628140703515
-54.961,-2.471,-54.15366834170855,2.6415628140703515
-53.118,0.964,-54.15366834170855,2.6415628140703515
-61.819,6.696,-54.15366834170855,2.6415628140703515
-51.055,8.449,-54.15366834170855,2.6415628140703515
-52.033,1.236,-54.15366834170855,2.6415628140703515
-47.741,0.482,-54.15366834170855,2.6415628140703515
-47.683,-4.319,-54.15366834170855,2.6415628140703515
-52.46,-0.187,-54.15366834170855,2.6415628140703515
-47.186,5.643,-54.15366834170855,2.6415628140703515
-46.691,9.692,-54.15366834170855,2.6415628140703515
-64.127,0.309,-54.15366834170855,2.6415628140703515
-52.224,3.531,-54.15366834170855,2.6415628140703515
-48.267,1.631,-54.15366834170855,2.6415628140703515
-54.918,6.461,-54.15366834170855,2.6415628140703515
-54.2,-2.277,-54.15366834170855,2.6415628140703515
-48.849,4.886,-54.15366834170855,2.6415628140703515
-59.367,6.229,-54.15366834170855,2.6415628140703515
-47.253,-0.172,-54.15366834170855,2.6415628140703515
-48.536,4.446,-54.15366834170855,2.6415628140703515
-64.713,5.295,-54.15366834170855,2.6415628140703515
-55.286,2.412,-54.15366834170855,2.6415628140703515
-47.308,6.898,-54.15366834170855,2.6415628140703515
-59.555,4.216,-54.15366834170855,2.6415628140703515
-59.136,0.508,-54.15366834170855,2.6415628140703515
-60.61,8.123,-54.15366834170855,2.6415628140703515
-50.222,4.165,-54.15366834170855,2.6415628140703515
-55.095,4.517,-54.15366834170855,2.6415628140703515
-47.027,2.522,-54.15366834170855,2.6415628140703515
-60.289,6.457,-54.15366834170855,2.6415628140703515
-57.394,-4.212,-54.15366834170855,2.6415628140703515
-45.157,0.259,-54.15366834170855,2.6415628140703515
-60.672,8.209,-54.15366834170855,2.6415628140703515
-51.083,5.156,-54.15366834170855,2.6415628140703515
-61.345,6.479,-54.15366834170855,2.6415628140703515
-47.645,1.341,-54.15366834170855,2.6415628140703515
-47.305,1.918,-54.15366834170855,2.6415628140703515
-55.482,2.432,-54.15366834170855,2.6415628140703515
-52.151,-0.51,-54.15366834170855,2.6415628140703515
-49.473,5.207,-54.15366834170855,2.6415628140703515
-66.183,-1.205,-54.15366834170855,2.6415628140703515
-60.054,1.661,-54.15366834170855,2.6415628140703515
-48.996,6.049,-54.15366834170855,2.6415628140703515
-46.657,7.601,-54.15366834170855,2.6415628140703515
-56.172,4.917,-54.15366834170855,2.6415628140703515
-64.706,5.707,-54.15366834170855,2.6415628140703515
-53.222,5.216,-54.15366834170855,2.6415628140703515
-55.491,7.789,-54.15366834170855,2.6415628140703515
-64.282,0.377,-54.15366834170855,2.6415628140703515
-60.287,2.563,-54.15366834170855,2.6415628140703515
-61.963,-2.299,-54.15366834170855,2.6415628140703515
-48.303,4.111,-54.15366834170855,2.6415628140703515
-58.464,7.324,-54.15366834170855,2.6415628140703515
-48.632,-4.609,-54.15366834170855,2.6415628140703515
